,location,month,case_fatality_rate,total_cases,new_cases,total_deaths,new_deaths
0,Afghanistan,2,0.0,1.0,1.0,0.0,0.0
1,Afghanistan,3,0.022857142857142857,175.0,174.0,4.0,4.0
2,Afghanistan,4,0.03008932769158439,2127.0,1952.0,64.0,60.0
3,Afghanistan,5,0.016964755391899,15208.0,13081.0,258.0,194.0
4,Afghanistan,6,0.023867711937029867,31507.0,16299.0,752.0,494.0
5,Afghanistan,7,0.03501977362607391,36665.0,5158.0,1284.0,532.0
6,Afghanistan,8,0.03676721088078828,38159.0,1494.0,1403.0,119.0
7,Afghanistan,9,0.0371804013446063,39268.0,1109.0,1460.0,57.0
8,Afghanistan,10,0.03712733856366928,41425.0,2157.0,1538.0,78.0
9,Afghanistan,11,0.03879068159225483,46274.0,4849.0,1795.0,257.0
10,Afghanistan,12,0.04252222179094049,51526.0,5252.0,2191.0,396.0
11,Africa,2,0.0,3.0,3.0,0.0,0.0
12,Africa,3,0.03459609064175748,5781.0,5778.0,200.0,200.0
13,Africa,4,0.04216447758883183,38753.0,32972.0,1634.0,1434.0
14,Africa,5,0.028807510968278986,146559.0,107806.0,4222.0,2588.0
15,Africa,6,0.025057977135151555,404901.0,258342.0,10146.0,5924.0
16,Africa,7,0.021207223515214205,928080.0,523179.0,19682.0,9536.0
17,Africa,8,0.023807033024951386,1252235.0,324155.0,29812.0,10130.0
18,Africa,9,0.024200116739263193,1481935.0,229700.0,35863.0,6051.0
19,Africa,10,0.024000909562390715,1785474.0,303539.0,42853.0,6990.0
20,Africa,11,0.02391181071073617,2174323.0,388849.0,51992.0,9139.0
21,Africa,12,0.023716345723664073,2760459.0,586136.0,65468.0,13476.0
22,Albania,2,,0.0,0.0,0.0,0.0
23,Albania,3,0.06172839506172839,243.0,243.0,15.0,15.0
24,Albania,4,0.040103492884864166,773.0,530.0,31.0,16.0
25,Albania,5,0.029023746701846966,1137.0,364.0,33.0,2.0
26,Albania,6,0.02445759368836292,2535.0,1398.0,62.0,29.0
27,Albania,7,0.029757391963608795,5276.0,2741.0,157.0,95.0
28,Albania,8,0.02985388415851992,9513.0,4237.0,284.0,127.0
29,Albania,9,0.028353725547659168,13649.0,4136.0,387.0,103.0
30,Albania,10,0.02438323353293413,20875.0,7226.0,509.0,122.0
31,Albania,11,0.0212141846943586,38182.0,17307.0,810.0,301.0
32,Albania,12,0.02025173194320598,58316.0,20134.0,1181.0,371.0
33,Algeria,2,0.0,1.0,1.0,0.0,0.0
34,Algeria,3,0.061452513966480445,716.0,715.0,44.0,44.0
35,Algeria,4,0.11233150274588118,4006.0,3290.0,450.0,406.0
36,Algeria,5,0.06951245475835639,9394.0,5388.0,653.0,203.0
37,Algeria,6,0.06557848565470627,13907.0,4513.0,912.0,259.0
38,Algeria,7,0.03981048891228532,30394.0,16487.0,1210.0,298.0
39,Algeria,8,0.03393716006652582,44494.0,14100.0,1510.0,300.0
